City,Country,Continent,Region,Cont_Reg,Reviews Link
Amsterdam,The Netherlands,Europe,West,West Europe,http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-08-18/visualisations/reviews.csv
Antwerp,Belgium,Europe,West,West Europe,http://data.insideairbnb.com/belgium/vlg/antwerp/2020-06-22/visualisations/reviews.csv
Athens,Greece,Europe,South,South Europe,http://data.insideairbnb.com/greece/attica/athens/2020-06-16/visualisations/reviews.csv
Barcelona,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/catalonia/barcelona/2020-08-24/visualisations/reviews.csv
Barossa Valley,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/sa/barossa-valley/2020-07-28/visualisations/reviews.csv
Barwon South West,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2020-06-22/visualisations/reviews.csv
Beijing,China,Asia,,Asia,http://data.insideairbnb.com/china/beijing/beijing/2020-06-19/visualisations/reviews.csv
Belize,Belize,North America,Central,Central North America,http://data.insideairbnb.com/belize/bz/belize/2020-06-25/visualisations/reviews.csv
Bergamo,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/lombardia/bergamo/2020-06-29/visualisations/reviews.csv
Berlin,Germany,Europe,West,West Europe,http://data.insideairbnb.com/germany/be/berlin/2020-08-30/visualisations/reviews.csv
Bologna,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/emilia-romagna/bologna/2020-08-31/visualisations/reviews.csv
Bordeaux,France,Europe,West,West Europe,http://data.insideairbnb.com/france/nouvelle-aquitaine/bordeaux/2020-08-29/visualisations/reviews.csv
Bristol,England,Europe,West,West Europe,http://data.insideairbnb.com/united-kingdom/england/bristol/2020-06-18/visualisations/reviews.csv
Brussels,Belgium,Europe,West,West Europe,http://data.insideairbnb.com/belgium/bru/brussels/2020-06-15/visualisations/reviews.csv
Buenos Aires,Argentina,South America,,South America,http://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2020-06-21/visualisations/reviews.csv
Cape Town,South Africa,Africa,,Africa,http://data.insideairbnb.com/south-africa/wc/cape-town/2020-06-21/visualisations/reviews.csv
Copenhagen,Denmark,Europe,North,North Europe,http://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2020-06-26/visualisations/reviews.csv
Crete,Greece,Europe,South,South Europe,http://data.insideairbnb.com/greece/crete/crete/2020-06-23/visualisations/reviews.csv
Dublin,Ireland,Europe,West,West Europe,http://data.insideairbnb.com/ireland/leinster/dublin/2020-08-27/visualisations/reviews.csv
Edinburgh,Scotland,Europe,West,West Europe,http://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2020-08-28/visualisations/reviews.csv
Euskadi,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/pv/euskadi/2020-06-28/visualisations/reviews.csv
Florence,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/toscana/florence/2020-08-31/visualisations/reviews.csv
Geneva,Switzerland,Europe,West,West Europe,http://data.insideairbnb.com/switzerland/geneva/geneva/2020-06-23/visualisations/reviews.csv
Ghent,Belgium,Europe,West,West Europe,http://data.insideairbnb.com/belgium/vlg/ghent/2020-06-18/visualisations/reviews.csv
Girona,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/catalonia/girona/2020-06-29/visualisations/reviews.csv
Manchester,England,Europe,West,West Europe,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2020-06-15/visualisations/reviews.csv
Hong Kong,China,Asia,,Asia,http://data.insideairbnb.com/china/hk/hong-kong/2020-06-15/visualisations/reviews.csv
Istanbul,Turkey,Europe,East,East Europe,http://data.insideairbnb.com/turkey/marmara/istanbul/2020-06-28/visualisations/reviews.csv
Lisbon,Portugal,Europe,South,South Europe,http://data.insideairbnb.com/portugal/lisbon/lisbon/2020-08-29/visualisations/reviews.csv
London,England,Europe,West,West Europe,http://data.insideairbnb.com/united-kingdom/england/london/2020-08-24/visualisations/reviews.csv
Lyon,France,Europe,West,West Europe,http://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2020-08-31/visualisations/reviews.csv
Madrid,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2020-08-25/visualisations/reviews.csv
Malaga,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/andaluc%C3%ADa/malaga/2020-06-30/visualisations/reviews.csv
Mallorca,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/islas-baleares/mallorca/2020-08-28/visualisations/reviews.csv
Melbourne,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/vic/melbourne/2020-08-20/visualisations/reviews.csv
Menorca,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/islas-baleares/menorca/2020-06-30/visualisations/reviews.csv
Mexico City,Mexico,North America,,North America,http://data.insideairbnb.com/mexico/df/mexico-city/2020-06-20/visualisations/reviews.csv
Milan,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/lombardy/milan/2020-08-31/visualisations/reviews.csv
Montreal,Canada,North America,,North America,http://data.insideairbnb.com/canada/qc/montreal/2020-08-28/visualisations/reviews.csv
Munich,Germany,Europe,West,West Europe,http://data.insideairbnb.com/germany/bv/munich/2020-06-20/visualisations/reviews.csv
Naples,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/campania/naples/2020-08-31/visualisations/reviews.csv
New Brunswick,Canada,North America,,North America,http://data.insideairbnb.com/canada/nb/new-brunswick/2020-06-25/visualisations/reviews.csv
Northern Rivers,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/nsw/northern-rivers/2020-08-28/visualisations/reviews.csv
Oslo,Norway,Europe,North,North Europe,http://data.insideairbnb.com/norway/oslo/oslo/2020-07-27/visualisations/reviews.csv
Ottawa,Canada,North America,,North America,http://data.insideairbnb.com/canada/on/ottawa/2020-08-25/visualisations/reviews.csv
Paris,France,Europe,West,West Europe,http://data.insideairbnb.com/france/ile-de-france/paris/2020-08-22/visualisations/reviews.csv
Porto,Portugal,Europe,South,South Europe,http://data.insideairbnb.com/portugal/norte/porto/2020-08-27/visualisations/reviews.csv
Prague,Czech Republic,Europe,East,East Europe,http://data.insideairbnb.com/czech-republic/prague/prague/2020-06-28/visualisations/reviews.csv
Puglia,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/puglia/puglia/2020-06-25/visualisations/reviews.csv
Quebec City,Canada,North America,,North America,http://data.insideairbnb.com/canada/qc/quebec-city/2020-08-23/visualisations/reviews.csv
Rio de Janeiro,Brazil,South America,,South America,http://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2020-06-19/visualisations/reviews.csv
Rome,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/lazio/rome/2020-08-26/visualisations/reviews.csv
Santiago,Chile,South America,,South America,http://data.insideairbnb.com/chile/rm/santiago/2020-06-21/visualisations/reviews.csv
Sevilla,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/andaluc%C3%ADa/sevilla/2020-06-29/visualisations/reviews.csv
Shanghai,China,Asia,,Asia,http://data.insideairbnb.com/china/shanghai/shanghai/2020-06-20/visualisations/reviews.csv
Sicily,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/sicilia/sicily/2020-06-25/visualisations/reviews.csv
Singapore,Singapore,Asia,,Asia,http://data.insideairbnb.com/singapore/sg/singapore/2020-06-22/visualisations/reviews.csv
South Aegean,Greece,Europe,South,South Europe,http://data.insideairbnb.com/greece/south-aegean/south-aegean/2020-06-27/visualisations/reviews.csv
Stockholm,Sweden,Europe,North,North Europe,http://data.insideairbnb.com/sweden/stockholms-l%C3%A4n/stockholm/2020-06-26/visualisations/reviews.csv
Sydney,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/nsw/sydney/2020-08-20/visualisations/reviews.csv
Taipei,Taiwan,Asia,,Asia,http://data.insideairbnb.com/taiwan/northern-taiwan/taipei/2020-06-29/visualisations/reviews.csv
Tasmania,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/tas/tasmania/2020-08-17/visualisations/reviews.csv
Thessaloniki,Greece,Europe,South,South Europe,http://data.insideairbnb.com/greece/central-macedonia/thessaloniki/2020-06-16/visualisations/reviews.csv
Tokyo,Japan,Asia,,Asia,http://data.insideairbnb.com/japan/kant%C5%8D/tokyo/2020-06-25/visualisations/reviews.csv
Toronto,Canada,North America,,North America,http://data.insideairbnb.com/canada/on/toronto/2020-08-18/visualisations/reviews.csv
Trentino,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/trentino-alto-adige-s%C3%BCdtirol/trentino/2015-10-12/visualisations/reviews.csv
Valencia,Spain,Europe,South,South Europe,http://data.insideairbnb.com/spain/vc/valencia/2020-08-30/visualisations/reviews.csv
Vancouver,Canada,North America,,North America,http://data.insideairbnb.com/canada/bc/vancouver/2020-08-24/visualisations/reviews.csv
Vaud,Switzerland,Europe,West,West Europe,http://data.insideairbnb.com/switzerland/vd/vaud/2020-08-17/visualisations/reviews.csv
Venice,Italy,Europe,South,South Europe,http://data.insideairbnb.com/italy/veneto/venice/2020-08-21/visualisations/reviews.csv
Victoria,Canada,North America,,North America,http://data.insideairbnb.com/canada/bc/victoria/2020-06-25/visualisations/reviews.csv
Vienna,Austria,Europe,West,West Europe,http://data.insideairbnb.com/austria/vienna/vienna/2020-08-26/visualisations/reviews.csv
Western Australia,Australia,Australia,,Australia,http://data.insideairbnb.com/australia/wa/western-australia/2020-06-10/visualisations/reviews.csv
